Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,El Salvador,SLV,2937.31570665923,4483.29914705679,6107.96453987416,5999.64467425256,6173.31934105825,6511.44372701893,6786.56246328815,7026.60937352046,7258.96754330528,7474.91370431052,7726.17044367092,8006.05921945185
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Equatorial Guinea,GNQ,646.012805281296,8554.62758357766,38441.3483297428,37496.5682212741,33041.1883529952,34363.1529063453,36288.4062684229,33877.5422420033,33228.1611784238,29341.4877093529,26142.0895255227,24816.8668364201
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eritrea,ERI,..,1330.93984994087,1329.64437262065,1366.59093114871,1387.71466344319,1510.45892910899,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,..,9419.75695120623,22664.0393274715,20498.7060613234,21602.7407439834,24543.0674715452,26022.4688470951,27495.7344185694,28538.4286440465,28688.9687744908,29743.3374280246,31637.6783162519
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ethiopia,ETH,421.378823580782,490.036390791223,888.142451706092,948.224952260441,1052.10426150867,1162.78331740492,1253.24331774066,1371.98167052453,1500.65454785138,1632.55180551359,1734.46407451719,1899.20812562765
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fiji,FJI,3807.73543300453,5289.88152104758,7093.550249278,6976.98370264113,7203.36569339968,7488.82938057572,7676.77869438776,8113.23614540101,8661.65588296187,9027.54243817248,9109.95192354859,9554.60253434927
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,18158.9385770366,26748.6310534523,39969.3875987055,37823.2291881784,38775.1748566366,40683.5275821703,40620.176066035,41293.5157728524,41470.2023590157,42071.1912691938,43378.1460288181,45191.5940156352
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,France,FRA,17566.3038976734,26090.1016614759,35095.260231603,34678.9415827013,35935.0261951419,37440.6414948094,37679.1332569372,39523.8701233957,40141.5903200769,40564.4607069076,41357.98693296,42778.9288833505
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gabon,GAB,12604.0945406704,14095.0730293988,14686.6143195866,14347.322973039,15045.1581815663,15893.5477170288,16457.3922458255,17078.4986442906,17569.9544054586,17928.8920096283,18071.2568901822,18183.1236754108
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Gambia, The",GMB,973.639122387653,1228.24577644183,1483.75834668804,1541.95930326616,1610.98159758957,1524.7687739658,1589.07236339983,1640.01090289255,1633.06302099455,1669.74580977448,1676.87879487811,1714.59309981663
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Georgia,GEO,5174.86822893522,2587.02780948458,6155.92744153496,6054.39489734577,6597.56854892246,7315.0908976643,8026.50718674543,8541.81225964198,9216.71626359249,9610.54338228378,10004.5284138636,10698.6808704272
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Germany,DEU,19433.1574450028,27293.7675581123,38028.772143518,37035.7800292733,39225.5999941663,42692.5197566424,43564.1480172353,45232.1978530818,47092.4883721197,47810.8360109883,48943.1018045093,50715.5540407254
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ghana,GHA,1240.70188189817,1790.59778708051,2733.2853527196,2814.35809995882,2997.49649055173,3404.45956595241,3699.35719940287,3940.09737535096,4075.34121041294,4181.41284212256,4295.21767034808,4641.32337864925
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greece,GRC,13297.9776808599,19515.7893177015,30856.0118268477,30359.9252972847,28175.8555167678,26141.3195918975,25284.4640766238,26097.8719008736,26838.4552283268,26697.2485044179,26764.961606123,27809.3999585813
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Grenada,GRD,4680.45898391756,7650.04492066059,11640.8645214302,10915.0675874433,10951.8841081545,11220.828366136,11252.0234242385,11655.4074601893,12681.8138671393,13585.5046357208,14200.0071938055,14924.1019355641
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guatemala,GTM,3296.80212677172,4811.82562076063,6515.05758299598,6456.22189555523,6578.24729507297,6844.4956401592,7026.19387401792,7249.27875612849,7529.39206753966,7765.75727079973,7946.67768789209,8150.26220433995
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea,GIN,912.589240031981,1126.03437757687,1524.95651322497,1485.77474811875,1541.71430066062,1625.56027314058,1715.17682156794,1771.39299774767,1827.44210331142,1872.3677580152,2043.06018975282,2284.77875232598
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea-Bissau,GNB,1017.2454049238,1080.62290231447,1307.09707829264,1328.55148362155,1372.03586383069,1475.38909048806,1438.98155643909,1470.89998434247,1472.97836903676,1540.31513190105,1616.42380033177,1700.21983230872
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guyana,GUY,1837.61743968011,3584.18902212924,5211.15785694213,5441.77559867703,5729.56312108395,6130.83761606119,6538.3765807766,6930.2876937459,7275.07368535638,7535.97647088253,7836.37917629736,8162.6015403718
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Haiti,HTI,..,1378.69205104706,1526.16950942459,1561.3874087187,1471.64864918954,1562.27887385753,1614.02589559014,1686.17153257923,1741.18434038919,1758.3344598491,1783.94018985826,1814.94323596972
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Honduras,HND,2049.95599314306,2638.27229240659,3923.59702090081,3779.31896670342,3890.85140670074,4046.07625166556,4213.02444982689,4323.24446721271,4457.44957792311,4599.65014412708,4752.48484803485,4986.23135972887
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Hong Kong SAR, China",HKG,17434.2940203656,26962.5594901471,44800.1739750295,43935.6583386726,47134.5556511053,50085.9593288483,51306.3328407537,53536.2533847523,55610.5234346003,57068.0404312648,58681.6180611178,61540.1583105354
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Hungary,HUN,..,11876.0811672002,20678.6799120892,20648.0551358014,21555.8591129762,22841.2103381104,23094.4733308159,24463.1994713915,25524.7176219966,26147.5373739471,26700.7560826351,28375.3726687002
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iceland,ISL,21637.4866371345,29453.426649526,42721.162860495,41195.9596647895,38535.3270617591,39621.9356635285,40696.0377995462,42821.2850368123,44546.0104478288,47499.6253846535,50745.682977113,53518.0910902721
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,India,IND,1134.22227443449,1977.64502308403,3637.64302867069,3920.00613882149,4315.59602443676,4635.87913658849,4916.48579000261,5250.51236297383,5672.9269732679,6130.06751531789,6573.93215524133,7055.5548301901
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Indonesia,IDN,2989.53414981725,4601.8493370402,7486.01947001863,7787.12362408401,8262.89926894218,8837.82012171405,9421.58695312812,9979.5172919759,10537.6600152547,11040.1972130227,11610.9931218733,12283.6154277128
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Iran, Islamic Rep.",IRN,7363.39029330231,10411.5492390586,16511.0329816887,16611.9980174545,17579.8739367267,18192.1055960586,16932.1772128244,16954.5131551469,17828.6399580851,17571.222242865,19948.8165996546,20949.9439993379
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iraq,IRQ,7446.87513746219,9651.69010222984,11736.7381584753,11905.1964098877,12460.3379670716,13261.6014514347,14895.3919814721,15754.3997892057,15631.3548972166,16050.5619107593,17516.2590836108,17196.7810400953
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ireland,IRL,13745.4453686789,30173.2048396099,44280.6914596491,41613.3441852022,43298.6941393342,45147.3762396776,46374.2395088883,48067.1207118188,50994.3061395943,68576.7443262317,71388.7596796249,76304.7080287009
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Israel,ISR,..,24935.3497631378,27399.4476428399,27498.5653661926,28828.321525657,30558.3912790325,31708.0871068513,34128.9564769879,34086.5487590247,35888.8758935766,37258.2235945673,38412.6788087998
